Gender:,Age Group:,1. How would you describe your personality type?,2. When are you most often actively listening to music?,3. How do you approach your daily tasks and schedule?,4. How would you describe the general pace of your lifestyle?,5. What is your most frequent state of mind when you actively seek out music?,6. How deeply do you usually feel the emotions of the people around you or characters in a movie/book?,"7. When you listen to a new song, what does your brain naturally focus on first?",8. What type of music do you lean towards on a daily basis?
Male,14 - 17 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Rarely,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Studying, working, reading, or trying to sleep.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Stressed / Overwelmed,Moderately,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Studying, working, reading, or trying to sleep.",Highly spontaneous,"Slow, relaxed, or highly laid-back.",Sad / Hurt,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,22 - 25 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Studying, working, reading, or trying to sleep.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,14 - 17 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Openness to Experience (Creative, Curious, Imaginative)","Commuting, walking, or doing household chores.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,26 - 29 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Openness to Experience (Creative, Curious, Imaginative)","Commuting, walking, or doing household chores.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Working out, playing sports, or getting ready to go out.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Studying, working, reading, or trying to sleep.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,22 - 25 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Conscientiousness (Responsible, Organized, Disciplined)","Studying, working, reading, or trying to sleep.",Highly spontaneous,"Steady, predictable, and focused on one thing at a time.",Stressed / Overwelmed,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Stressed / Overwelmed,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Openness to Experience (Creative, Curious, Imaginative)","Commuting, walking, or doing household chores.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Working out, playing sports, or getting ready to go out.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Studying, working, reading, or trying to sleep.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,14 - 17 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Extraversion (Outgoing, Energetic, Social)","Commuting, walking, or doing household chores.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,14 - 17 years,"Conscientiousness (Responsible, Organized, Disciplined)","Studying, working, reading, or trying to sleep.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,22 - 25 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Highly spontaneous,"Slow, relaxed, or highly laid-back.",Sad / Hurt,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,26 - 29 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,26 - 29 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Highly spontaneous,"Slow, relaxed, or highly laid-back.",Sad / Hurt,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,22 - 25 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Conscientiousness (Responsible, Organized, Disciplined)","Studying, working, reading, or trying to sleep.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Extraversion (Outgoing, Energetic, Social)","Commuting, walking, or doing household chores.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Studying, working, reading, or trying to sleep.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Working out, playing sports, or getting ready to go out.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,26 - 29 years,"Openness to Experience (Creative, Curious, Imaginative)","Commuting, walking, or doing household chores.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Calm / Need to Focus,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Sad / Hurt,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,22 - 25 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,22 - 25 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Commuting, walking, or doing household chores.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,22 - 25 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Highly structured,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Openness to Experience (Creative, Curious, Imaginative)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Conscientiousness (Responsible, Organized, Disciplined)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Rarely,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Calm / Need to Focus,Very deeply,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Stressed / Overwelmed,Very deeply,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Openness to Experience (Creative, Curious, Imaginative)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Very deeply,"The lyrics, the vocals, or the overall melody.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,22 - 25 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,26 - 29 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Highly spontaneous,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Studying, working, reading, or trying to sleep.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Highly structured,"Slow, relaxed, or highly laid-back.",Sad / Hurt,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,26 - 29 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Working out, playing sports, or getting ready to go out.",Highly structured,"Fast-paced, constantly moving, or frequently multitasking.",Sad / Hurt,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,14 - 17 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Highly structured,"Slow, relaxed, or highly laid-back.",Stressed / Overwelmed,Rarely,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Male,14 - 17 years,"Extraversion (Outgoing, Energetic, Social)","Working out, playing sports, or getting ready to go out.",Highly spontaneous,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,22 - 25 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Moderately,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Energetic / Hyped,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,14 - 17 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Very deeply,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Female,18 - 21 years,"Openness to Experience (Creative, Curious, Imaginative)","Commuting, walking, or doing household chores.",Somewhat organized,"Fast-paced, constantly moving, or frequently multitasking.",Energetic / Hyped,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,22 - 25 years,"Conscientiousness (Responsible, Organized, Disciplined)","Working out, playing sports, or getting ready to go out.",Highly structured,"Steady, predictable, and focused on one thing at a time.",Stressed / Overwelmed,Very deeply,"The beat, the bass, or the overall rhythm.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Studying, working, reading, or trying to sleep.",Highly spontaneous,"Fast-paced, constantly moving, or frequently multitasking.",Stressed / Overwelmed,Rarely,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,14 - 17 years,"Openness to Experience (Creative, Curious, Imaginative)","Studying, working, reading, or trying to sleep.",Highly structured,"Slow, relaxed, or highly laid-back.",Calm / Need to Focus,Moderately,"The beat, the bass, or the overall rhythm.","High-Energy (Pop, Hip-Hop, EDM, Rap, Rock, etc.)"
Male,18 - 21 years,"Agreeableness (Friendly, Cooperative, Empathetic)","Commuting, walking, or doing household chores.",Highly spontaneous,"Slow, relaxed, or highly laid-back.",Sad / Hurt,Rarely,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,26 - 29 years,"Conscientiousness (Responsible, Organized, Disciplined)","Commuting, walking, or doing household chores.",Somewhat organized,"Steady, predictable, and focused on one thing at a time.",Calm / Need to Focus,Very deeply,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
Female,18 - 21 years,"Neuroticism (Emotional Instability, Anxiety, Mood Swings)","Commuting, walking, or doing household chores.",Somewhat organized,"Slow, relaxed, or highly laid-back.",Sad / Hurt,Moderately,"The lyrics, the vocals, or the overall melody.","Low-Energy (Lo-Fi, Classical, Acoustic, Indie, R&B, etc.)"
